Date,Asset,Direction,Context,Detail,Control
31.10.2022,ETHUSDT,SHORT,https://www.tradingview.com/x/eCz69WSu/,https://www.tradingview.com/x/4ErP75R7/,https://www.tradingview.com/x/ey6nzr0i/
1.11.2022,BTCUSDT,SHORT,https://www.tradingview.com/x/zC99upbk/,https://www.tradingview.com/x/14kRc18G/,https://www.tradingview.com/x/faQS2Nso/
1.11.2022,BTCUSDT,LONG,https://www.tradingview.com/x/UC8XSZ2g/,https://www.tradingview.com/x/cfhaIewf/,https://www.tradingview.com/x/GeAY0oue/
1.11.2022,ETHUSDT,LONG,https://www.tradingview.com/x/vlXhW6Po/,https://www.tradingview.com/x/jtIXtoai/,https://www.tradingview.com/x/lUenhrwK/
